"Hypotension At 17
","i have high blood pressure and hypotension 
and from time to time when i stand up i get really dizzy and my sight goes all black is there anything i can do to stop this happening"
"Blood Pressure Number
","I have a blood pressure of 194 / 113 with a pulse rate of 45. That's bad isnt it ?
"
"Blood Pressure Bottomed Out
","what could cause bloodpressure to bottom out, have hysterics, coma, and death with in 4 hours? this happened to my mother. she had diabetes, high blood pressure, and had had a quadruple bypass 5 years earlier. my sis ter had committe suicide 1 week before, and her doctor said she died of a broken heart! that is the only answer i have been given. was told they didn't know what had happened. Help! i really need an answer.
"
"High Diastolic And Normal Systolic
","Hello. I just had a question about blood pressure. My husband had a dental appointment to get a bad tooth taken care of. When they checked his blood pressure, it was 121/101. I know that the 121 is close to normal, but the other is way off. When I look up something about the blood pressure, everything talks about both being elevated. Of course, they didn't do any procedure because of the blood pressure. But I am not sure what we are suppose to do about it. They said to come back next week, but didn't say what to do about the elevated blood pressure.
"
"Hypotension , Steady Heart Rate , Chest Pain
","Here's one for you. It's not me, it's my girlfriend... For some time she has complained of intermittent chest pain. They discovered a blockage in the left ventrical. OK, I'll buy that. Now then, she was perscribed nitro to aleiviate the pain. It does nothing to help. She's on two different medications for hypotension, but she's almost always still low, even after taking them. She also tends to get shakey and sometimes passes out at any given moment regardless of activity. She was just in the hospital for several days where they did pretty much nothing but monitor her blood pressure and let her go when the top number finally reached 92 (still seems low to me). No one seems motivated to really fix the problem, just give a couple meds that only sort of mask things and act as a bandaid for the problem. Thoughts? 
"
"Low Blood Pressure
","Ok my bp runs low for about 3.5 years now. It gets lower than the 90/60 here and there. I'm TERRIFIED off getting shock. How low does you guys with low BP run? The week straight anxiety is debilitating.
"
"Sudden Drop In Blood Pressure?
","I've recently been diagnosed with chronic hypotension and poor circulation. After sitting down for a while I began to feel lightheaded so I went to lie down. Almost as soon as I lay down I felt fatigued and still my lightheadedness will not go away. Are these the symptoms of a sudden drop in blood pressure? If so what can I do when my blood pressure drops suddenly? And also can anyone tell me why this could have happened? I usually only feel the effects of my low blood pressure when I stand up so this has been very confusing Neutral
"
"Can Low Blood Pressure Result From Eating After A Long Time?
","I've had constant low blood pressure for years now, and have become nauseus and fainted whenever my BP drops. When working for a long time without a break (say 4-5 hours) i start to get very hungry but after eating lunch or a meal i return to work feeling very nauseus and eventually i will either faint or begin to vomit. Is this a common thing? because i drink plenty of water in an attempt to prevent this and i find it strange that i can be so hungry but not be able to stomach something relatively simple. When it happens i get a tight feeling in my stomach, my legs begin to turn weak and my vision start to become blurry which i know from experience are symptoms of my low blood pressure. Any help would be appreciated.
"
"Hypotention, Bpm, My Life Is On Hold
","hypotention, bpm, symptoms with mine the headache doesn't go away at all and I have tachycardia with mine just walking few steps after standing I blackout with no movement no speach and no vision it can last from 20 sec to 1 min. 
I'm oncalciumblockers and pitotifen 
I can't have betablockers due to them causing acute asthma attacks 
due to having a dry mouth very thirsty I drink a lot of fluids which means a lot of bathroom trips ie 10 minimum a day I am frequently dizzy lightheaded walk drunk when very bad but with my blood pressure jumping around a lot ie I was with my neurologist he took my bp it was 70/66 sitting down and 118/75 standing bpm 98 but he didn't seem bothered by it. My bpm can vary from 80 to 149 bpm. I wasnt with it at all at my appointment, its like being in a bubble clouded. 
I only have one kidney as well I'm very tired and feel weak I also get heavylegs 
? 
the hole process is slow to get test and results then having to wait 9 months to see the neurologist again. Mean while my life is on hold I'm not allowed to drive or work at the moment. "
"Blood Pressure Continually Declining And Worsening Of Symptoms
","Normally, my blood pressure has always been around the 110/70 range, but over the last several months I've felt very ""off"". I get extremely dizzy upon standing and I feel a general weakness all the time, even when I turn my head or am in a very well-lit environment. I also feel slightly nauseated. 
My readings have been consistently low. I started out at 90/58, but my most recent one was 82/60. Is this blood pressure too low? I drink plenty of water and my intake of salt is very good (which was also further evidenced by a good sodium level on the blood test). I'm 27 and male. Could it be a problem with my heart or could it be something more benign?"
" Hypotension / Low Blood Pressure
","In reading about carbohydrate restricted diets I came across some warnings that it could cause hypotension. I have naturally low BP (90s/50s) and have had instances of orthostatic hypotension and even passing out. Mostly it seems to be in the carb withdraw period. I am a little worried about being able to deal with this as I can't really take off work due to a new diet. Is there any advice out there to lessen the chances or severity of increased hypotension due to carb restriction?
"
"Ortho-Static Hypotension Or Not?
","I was diagnosed with ortho-static hypotension recently but I feel like there is more to what is going on with me and my doctor is just tired of dealing with me. Im sick to my stomach everyday, shake horribly,sweat like a man, heart races and I start to blackout and feel like or do faint. Only thing is It doesnt happen when goin from a sitting to standing postion, which is what ortho-static is. Im 28 and have delt with this since my senior year in high school. I take florinef three times a week and it doesnt seem to be helping much, just makes me swell. Doc just tells me to wear support stockings and drink as much water as I can. Really??? Does anyone else have any advice?
"
"Blood Pressure Continually Declining And Worsening Of Symptoms
","Normally, my blood pressure has always been around the 110/70 range, but over the last several months I've felt very ""off"". I get extremely dizzy upon standing and I feel a general weakness all the time, even when I turn my head or am in a very well-lit environment. I also feel slightly nauseated. 
My readings have been consistently low. I started out at 90/58, but my most recent one was 82/60. Is this blood pressure too low? I drink plenty of water and my intake of salt is very good (which was also further evidenced by a good sodium level on the blood test). I'm 27 and male. Could it be a problem with my heart or could it be something more benign?"
"No Carbs., Dizzy And Nausious, Low Bp
","I went to bed late last night and i am on the Herbalive dieet (this means no carbs.) This morning I was sitting at work and as soon as I stood up to go to the bathroom I felt dizzy and nausious. This happens quiet often to me and if i eat a sugar filled thing (e.g a chocolate) it goes away. I do know that I have low blood pressure. What could this be? If you need any more information please don't hesitate to ask.
"
"Fainting, Dizziness
","Today my 12 year old daughter fainted and she had blacked out and felt really warm and dizzy and then all of the sudden she fainted but she had her eyes open and she was still breathing and this was the first time it has ever happened What do i do and what could it be?
"
"Sudden Drop In Blood Pressure?
","I've recently been diagnosed with chronic hypotension and poor circulation. After sitting down for a while I began to feel lightheaded so I went to lie down. Almost as soon as I lay down I felt fatigued and still my lightheadedness will not go away. Are these the symptoms of a sudden drop in blood pressure? If so what can I do when my blood pressure drops suddenly? And also can anyone tell me why this could have happened? I usually only feel the effects of my low blood pressure when I stand up so this has been very confusing Neutral
"
"Low Blood Pressure While Exercising, An Underlying Reason.
","I found these posts a few yrs. ago when I was seeking a reason why I felt extreme exhaustion & faintness during exercise despite 30 yrs. of jogging. I went through respiratory workups & a full cardiac workup - all w/ no problems discovered & no diagnosis. I have since (2 yrs. later) been diagnosed w/ Parkinson's - one symptom of which can be early morning low BP (which can produce the faintness w/ heat/exercise). I find that I can alleviate the vasovagal syncope by exercising a bit later in the morning, exercising in an air-conditioned fitnesss center instead of outside, maintaining good hydration, etc. - but, of course, the Parkinson's doesn't go away! I don't post this to scare you, but just to let you know that there can be an underlying reason for the low BP in the morning or w/ heat/exercise. - Bette
"
"Blood Pressure Unusual Pattern
","I have a question to which I have yet to get the answer. 
About my blood pressure... 
My systolic was lower than usual 85 but my diastolic was way higher than usual 95 
What could this mean? 
I have various medical problems but rarely affect my BP 
I have never seen this pattern though 
Should I be worried?"
"Fatigue,Confused, Bp Low ,Memory Impairment
","i usually feel fatigue aftr doing smal works like walking on staircase. 
i feel confused,sometimes i forgot things and take stress on small thing...i am physically very weak.i wanna know what problem i am having"
"Father Has A Problem With His Tension,
","Hope someone help, my father has a problem with his tension, for about 6-9 moths he has a lot of problem with his tension, mostly of time he has hypotension, usually in the morning, before he used to drink 6-7 coffee a day, but now he can drink only 1 cause a second will make him so bad, i have sent him in every hospital, they have checked the heart, the head, and a lot of other things and discovered nothing, today his tension was 9-6 and i gave him a coffee and his tension went to 18-10,, i dont know to do any more, cause we dont know why this happens Sad can any one help plss
"
"Hypotension...Should I Be Worried?
","I have recently been told that I have hypotension and told to buy a blood pressure machine and blood sugar checker. I have monitored both for a week. I was instructed to check pressure whenever i was dizzy. A lot if times i am not able. This 95/63 and blood sugar 105, 94/50, 97/65 and 120 sugar, 90/63, 112/79 & 105 sugar, 90/62 & 101 sugar, 106/67 &111 sugar. I have been told the dizziness could be an inner ear issue. I am extremely fatigued to the point of sleeping most of the day (when I am actually very active). I've been experiencing horrible headaches and migraines for four months, my vision is so blurred that my prescription contacts/glasses dont always help (it's like I have nothing on to help me see), and I have some chest pains that aren't really strong but annoyingly achy and uncomfortable. I've gained 30 pounds! 
My father passed away from diabetes and heart isdues. My brother ,47, has had a mild heart attack. My mother has had a quadruple heart bypass. 
Now, should I be worried or is this all pressure?"
"Low Blood Pressure, Chest Pain
","Doctors baffled, 2 years ago I had a stent put in which the doctors believed would fix the problem of low blood pressure (quite often 60/40). Im 68 and healthy/fit. (After that they they thought I might have Addisons disease but that was a negative). At moment taking 1xaspirin, and stent medication. Feeling very lethargic and at times dizzy due to low blood pressure, appetite is low. Have had checks with angioplasty, heart, slight increase in protein in blood. Not sure what is happening now? Anyone else had undiagnosed problem like this?
"
"Suffering From Low Blood Pressure
","i have 46 year old male employee that is suffering from low blood pressure 100/60 and has numbness in left arm. what can be done to correct this
"
"Hypotension (Low BP) & Shaking??
","I have been under a lot of stress recently and need to know if this is normal. After lying down for a while and then standing up I have been feeling a sense of dizziness. I usually do not fall to the floor just hold onto something. Maybe feel a little tingly. However on 3 diff occasions I have fallen to the floor and started shaking. I did not loose consciousness and it only lasts for a few minutes. Once its done I am fine? Has anyone ever experienced this before?
"
"Blood Pressure Medicine / Urine Smell
","i am having low blood pressure. now, i am consuming medicine to achieve normal blood pressure. the medicine i take is B-COMPLEX WITH WHEAT GERM AND LECITHIN, VITAMIN C-500 and SPECTRUM MULTIVITAMINS AND MINERALS. However, after i took these medicine, my urine started to smell like those medicines and the color of my urine changes to the vitamin's color. Is this a symptom of any disease?? Can anyone help me? Thanks.. Crying or Very sad
"
"Fatigue-After Doing Anything I Feel Like I've Run A Marathon
","I have a type of fatigue whenever I do any type of low-level activity, for example just cleaning the house. A few hours after doing anything I feel like I've run a marathon, and I know what this feels like as I used to run marathons, but today just wouldn't be able to do this. I've had this for about three years and have been to see all sorts of specialists but they have no explanations. I also have low iron and low blood pressure. Has anyone got any answers or can point me in the right direction?
"
"Sudden Drop In Blood Pressure, Emergency Home Treatment?
","what emergency home treatment for sudden drop in blood pressure....suspect cause is too much Lantus insulin in morning dosage. Patient been on Metobolic diet and has been decreasing Lantus dosage as per instructions of doctor's sliding scale for particular reading of blood sugar. recently stopped Novolog due to drop in Blood Sugar since on Metobolic diet. Diabetis doctor is in another town and local family doctor's office is closed until Monday.
"
"When Is Low Blood Pressure Considered A Problem?
","I am a 39 year old female. Can anyone tell me when low blood pressure is considered a problem? I have been having some chest pain that radiates from middle left chest to shoulder blade and down my arm. When I take my blood pressure it is anywhere between 90/60 to 78/54. My heart rate is between 58-85, never high. I know high blood pressure & heart rate is a problem, but have never heard anything about low. Should I be concerned? 
"
"Dizziness And Chest Discomfort
","I am experiencing dizziness, headches and chest discomfort for nearly a week now, although I am usually a healthy person (and in my twenties). 
I believe that what triggered it was the news of the illness of a close person, but it starts worrying me that the symptoms won't stop. The first day it started, my heart was racing like crazy and I passed out for a few seconds. I also had a slight pain in my chest and left arm, as well as numbness in my arm. Then the pain went away the next day, but I felt constantly dizzy, especially when trying to work/concentrate. I also went to the doctor, but I didn't feel like I was taken seriously and I was just told to drink tea and wait till it goes away. He did say that my blood pressure was very low. 
The last few days, it got worse and I have to really force myself to get out of bed and get through the day. I tried to go jogging, thinking that sports are always good for my body, but I had a hard time breathing and almost fainted again. I know that I get the low blood pressure from my family, but I never had any major problems so far until now. 
Has anyone else experienced similar problems? I'd be really glad to hear what I could possibly have. Thanks!"
"Low Blood Preasure.
","Low B.P.is a common problem but seen as less important than high B.P. 
There are many reason why your B.P. level might be to loo. 
you can easily control your B.P. to do following changes to your daily life style. 
You can use more salt, as sodium can increase B.P. If you are patient of failure then consult your doctor before increasing salt in your diet. 
Drinking lot of fluids you may take 10 glasses of fluid a day. during exercise 
To promote blood flow have regular exercise 
Avoid heavy lifting 
Do not strain when you are in toilet. 
Don't take prolong hot water bath. 
Avoid taking alcohol. 
Increase whole grains , fruits , vegetables , lean chicken and fish in your diet. 
Even then you face some problem so you can consult a specialist doctor. 
If anyone has better suggestions and ideas then please let everyone know by replying to this post "
